"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (B)","Total Archive Storage (B)","Local Storage Growth (B/day)","Archive Storage Growth (B/day)"
"AGO-Troy","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-07-27 14:17:55","7245214858000.0","0.0","31164018816.0","0.0"
"AGO-Voyager","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-07-27 14:17:55","154644046151.0","0.0","23696821.0","0.0"
"AGR-DBProd2008","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","30712477173.0","0.0","-40610924.0","0.0"
"AGR-DBProd2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","797670553590.0","0.0","3302365418.0","0.0"
"AGR-DBTest2008","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","60132097414.0","0.0","33212938.0","0.0"
"AGR-DBTest2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","98417343824.0","0.0","10354125.0","0.0"
"AGR-IFProd2008","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","46858513223.0","0.0","54467509.0","0.0"
"AGR-INDB2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","21265136301.0","0.0","-15689117.0","0.0"
"AGR-Milk","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","78778426852.0","0.0","29096308.0","0.0"
"AGR-OFProd2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","31630232597.0","0.0","23383978.0","0.0"
"AGR-OFWQ2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","51000201486.0","0.0","40648657.0","0.0"
"AGR-ProdDB02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","61464872502.0","0.0","10040040.0","0.0"
"AGR-Test2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","45830744770.0","0.0","1802118.0","0.0"
"AHS-SQLA01D","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-13 13:33:02","20046145251.0","0.0","-1260818.0","0.0"
"AHS-SQLI01D","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-13 13:33:03","20538371224.0","0.0","-1858183.0","0.0"
"AHS-SQLR01D","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-13 13:33:03","18378458758.0","0.0","-26831834.0","0.0"
"AHSORAD01D","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-13 13:33:02","80040379804.0","0.0","45622645.0","0.0"
"AHSORAD01P","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-13 13:33:03","56747259438.0","0.0","867907102.0","0.0"
"AHSORAD01T","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-13 13:33:02","60632442665.0","0.0","270353301.0","0.0"
"ANR-AV","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","224347217323.0","0.0","2272190526.0","0.0"
"ANR-Aries","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","100038872081.0","0.0","-38999545.0","0.0"
"ANR-Capture","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","27284352547.0","0.0","-113201104.0","0.0"
"ANR-DC01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","24062429562.0","0.0","30919761.0","0.0"
"ANR-DC02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","24793560211.0","0.0","5533770.0","0.0"
"ANR-ERMSSearch","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","24034483762.0","0.0","-86103299.0","0.0"
"ANR-GDB","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","10457858412454.0","0.0","-1287010229.0","0.0"
"ANR-Intra","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","29423496426.0","0.0","15387460.0","0.0"
"ANR-JUPITER","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-07 11:04:42","7404193516707.0","0.0","2852898741.0","0.0"
"ANR-LEO","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-11-11 10:59:16","29300002431.0","0.0","-277861372.0","0.0"
"ANR-MARS","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-09-23 16:00:38","103154936449.0","0.0","-776162636.0","0.0"
