Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ERP-FMUAT2WEB02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,98.89,90.06,99.86,704.63,10/17/2018 14:33,1.2,0,-2925.2,0
ERP-FMUAT2WEB03,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,98.89,90.1,99.86,705.04,10/17/2018 14:33,1.2,0,-2925.3,0
ERP-FMUAT2WEB03,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,98.89,90.1,99.86,705.04,10/17/2018 14:33,1.2,0,-2925.3,0
ERP-FTPDR,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,75.34,4.06,98.3,58.82,10/24/2017 7:25,41.1,0,1209.3,0
ERP-GWRIGHT-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,63.39,2.73,96.46,28.27,6/22/2018 12:07,42.5,0,-99.4,0
ERP-GWRIGHT-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,63.39,2.73,96.46,28.27,6/22/2018 12:07,42.5,0,-99.4,0
ERP-GWRIGHT-VM-DR,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,42.28,1.73,95.32,21.38,10/23/2017 7:41,37.7,0,56.9,0
ERP-HRDRAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,50.87,2.04,96.1,25.66,10/23/2017 7:41,64.4,0,17.1,0
ERP-HRDRAPP02,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,63.28,2.72,97.29,36.92,10/23/2017 7:41,48,0,19.9,0
ERP-HRDRCRY01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,60.07,2.5,97.17,35.38,10/23/2017 7:41,22.8,0,4.1,0
ERP-HRDREP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,59.87,2.49,97.23,36.09,10/23/2017 7:41,66.9,0,1.5,0
ERP-HRDRWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,62.16,2.64,97.17,35.3,10/23/2017 7:41,21.3,0,-1,0
ERP-HRDRWEB02,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,46.51,1.87,95.91,24.43,10/23/2017 7:41,33,0,-0.3,0
ERP-HRDRWEB03,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,48.28,1.93,96.24,26.57,10/23/2017 7:41,30.3,0,-0.3,0
ERP-JBECKER-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,57.05,2.33,96.24,26.58,6/22/2018 12:07,28.3,0,-342.8,0
ERP-JBECKER-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,57.05,2.33,96.24,26.58,6/22/2018 12:07,28.3,0,-342.8,0
ERP-JBERCHICK-VM-DR,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,82.6,5.75,98.84,86.21,10/23/2017 7:41,9.3,0,0,0
ERP-JHACKNEY-VM-DR,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,85.43,6.86,99.03,102.92,10/23/2017 7:41,7.8,0,0,0
ERP-JHARRIS-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,55.53,2.25,96.47,28.31,6/22/2018 12:07,28.5,0,-282.6,0
ERP-JHARRIS-VM,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,55.53,2.25,96.47,28.31,6/22/2018 12:07,28.5,0,-282.6,0
