"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"JUD-VDICON1","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","69.60","3.29","97.23","36.10","2018-08-28 08:14:27","20.8","0.0","-651.2","0.0"
"DPSFILEONQ","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","68.85","3.21","97.22","36.01","2017-10-24 08:45:30","20.9","0.0","-154.0","0.0"
"DPSFILEONQ","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","68.85","3.21","97.22","36.01","2017-10-24 08:45:30","20.9","0.0","-154.0","0.0"
"ACCD-CVT-QA","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ACCD","79.37","4.85","98.37","61.54","2018-09-24 04:21:44","20.9","0.0","182.2","0.0"
"ACCD-CVT-QA","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","79.37","4.85","98.37","61.54","2018-09-24 04:21:44","20.9","0.0","182.2","0.0"
"ERP-HRDRWEB01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","62.16","2.64","97.17","35.30","2017-10-23 07:41:44","21.3","0.0","-1.1","0.0"
"DPSDC03","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","69.55","3.28","97.15","35.10","2017-10-31 14:29:01","21.4","0.0","-73.0","0.0"
"DPSDC03","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","69.55","3.28","97.15","35.10","2017-10-31 14:29:01","21.4","0.0","-73.0","0.0"
"JUD-VDICON3","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","69.52","3.28","97.32","37.38","2018-08-28 08:14:27","21.5","0.0","43.2","0.0"
"JUD-VDICON3","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","69.52","3.28","97.32","37.38","2018-08-28 08:14:27","21.5","0.0","43.2","0.0"
"JUD-Jury-WebApp01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","79.23","4.81","98.21","55.81","2018-08-28 08:14:29","21.5","0.0","-598.2","0.0"
"JUD-Jury-WebApp01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","79.23","4.81","98.21","55.81","2018-08-28 08:14:29","21.5","0.0","-598.2","0.0"
"JUD-VDICON4","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","68.62","3.19","97.31","37.20","2018-08-28 08:14:28","21.6","0.0","72.2","0.0"
"JUD-VDICON4","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","68.62","3.19","97.31","37.20","2018-08-28 08:14:28","21.6","0.0","72.2","0.0"
"JUD-ONP-TRAIN-INT01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","90.26","10.27","99.32","147.54","2018-08-28 08:14:27","21.8","0.0","-9.4","0.0"
"JUD-ONP-TRAIN-INT01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","90.26","10.27","99.32","147.54","2018-08-28 08:14:27","21.8","0.0","-9.4","0.0"
"DPSETICKET1","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","67.20","3.05","97.08","34.25","2017-10-24 08:45:30","21.9","0.0","-634.5","0.0"
"DPSETICKET1","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","67.20","3.05","97.08","34.25","2017-10-24 08:45:30","21.9","0.0","-634.5","0.0"
"JUD-CMS-DC02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","64.11","2.79","97.00","33.37","2018-08-14 12:45:12","22.5","0.0","-0.2","0.0"
"JUD-CMS-DC02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","64.11","2.79","97.00","33.37","2018-08-14 12:45:12","22.5","0.0","-0.2","0.0"
"ERP-HRDRCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","60.07","2.50","97.17","35.38","2017-10-23 07:41:44","22.8","0.0","3.2","0.0"
"ERP-NVISION","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ERP","91.92","12.37","99.39","164.38","2018-09-07 08:14:46","22.9","0.0","-674.6","0.0"
"ERP-NVISION","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","91.92","12.37","99.39","164.38","2018-09-07 08:14:46","22.9","0.0","-674.6","0.0"
"DPSNETMOTION","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","78.73","4.70","97.95","48.77","2017-10-25 08:48:37","22.9","0.0","-117.7","0.0"
"DPSNETMOTION","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","78.73","4.70","97.95","48.77","2017-10-25 08:48:37","22.9","0.0","-117.7","0.0"
"ENT-MBAM","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ADS","65.37","2.89","96.95","32.78","2018-08-18 16:15:01","22.9","0.0","-20.3","0.0"
"ENT-MBAM","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","65.37","2.89","96.95","32.78","2018-08-18 16:15:01","22.9","0.0","-20.3","0.0"
"ENT-VPN02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ADS","80.33","5.08","98.47","65.52","2018-08-18 16:15:55","22.9","0.0","4.5","0.0"
"ENT-VPN02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","80.33","5.08","98.47","65.52","2018-08-18 16:15:55","22.9","0.0","4.5","0.0"
"EDU-Print","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","EDU","70.45","3.38","97.15","35.07","2018-08-24 14:30:32","23.0","0.0","74.4","0.0"
