Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ERP-AFARRELL-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,66.35,2.97,97.69,43.26,10/24/2017 8:27,18.6,0,0,0
ERP-CHANGE,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,53.72,2.16,96.5,28.58,1/7/2018 20:11,152.2,0,-81.6,0
ERP-CHANGE,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,53.72,2.16,96.5,28.58,1/7/2018 20:11,152.2,0,-81.6,0
ERP-CORR-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,46.07,1.85,92.81,13.91,10/24/2017 8:27,54,0,695.2,0
ERP-CORR-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,46.07,1.85,92.81,13.91,10/24/2017 8:27,54,0,695.2,0
ERP-CPALISSON-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,64.99,2.86,96.93,32.54,10/24/2017 8:27,46.2,0,-75.5,0
ERP-CPALISSON-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,64.99,2.86,96.93,32.54,10/24/2017 8:27,46.2,0,-75.5,0
ERP-DBUPK,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,75,4,97.94,48.5,10/27/2017 9:06,24.9,0,0.3,0
ERP-DBUPK,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,75,4,97.94,48.5,10/27/2017 9:06,24.9,0,0.3,0
ERP-DNS01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,41.86,1.72,95.79,23.76,1/17/2018 8:46,562.6,0,-795.3,0
ERP-DNS01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,41.86,1.72,95.79,23.76,1/17/2018 8:46,562.6,0,-795.3,0
ERP-DNS02,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,31.5,1.46,90.28,10.28,1/7/2018 20:14,116.9,0,-12.8,0
ERP-DNS02,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,31.5,1.46,90.28,10.28,1/7/2018 20:14,116.9,0,-12.8,0
ERP-ESDEV01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,90.2,10.2,98.82,84.45,10/27/2017 9:06,49.6,0,133.7,0
ERP-ESDEV01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,90.2,10.2,98.82,84.45,10/27/2017 9:06,49.6,0,133.7,0
ERP-ESDEV02,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,89.61,9.63,99.25,133.41,10/27/2017 9:06,29.8,0,102.7,0
ERP-ESDEV02,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,89.61,9.63,99.25,133.41,10/27/2017 9:06,29.8,0,102.7,0
ERP-FMSBX7APP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,42.67,1.74,95.55,22.45,10/24/2017 8:28,57.4,0,79.7,0
ERP-FMSBX7APP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,42.67,1.74,95.55,22.45,10/24/2017 8:28,57.4,0,79.7,0
ERP-FMSBX7WEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,52.68,2.11,96.25,26.67,10/24/2017 8:28,28.2,0,0.5,0
ERP-FMSBX7WEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,52.68,2.11,96.25,26.67,10/24/2017 8:28,28.2,0,0.5,0
ERP-FOGLIGHT,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,83.4,6.02,98.61,71.81,1/7/2018 20:13,37.7,0,-54.7,0
ERP-FOGLIGHT,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,83.4,6.02,98.61,71.81,1/7/2018 20:13,37.7,0,-54.7,0
ERP-FS-FTP,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,73.73,3.81,97.91,47.74,10/27/2017 9:06,49.5,0,-13.6,0
ERP-FS-FTP,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,73.73,3.81,97.91,47.74,10/27/2017 9:06,49.5,0,-13.6,0
ERP-FTPDEV,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,66.34,2.97,97.27,36.63,10/27/2017 9:06,54.2,0,-15.3,0
ERP-FTPDEV,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,66.34,2.97,97.27,36.63,10/27/2017 9:06,54.2,0,-15.3,0
ERP-FTPPRD,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,53.89,2.17,96.24,26.58,10/27/2017 9:06,88.9,0,38.7,0
ERP-FTPPRD,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,53.89,2.17,96.24,26.58,10/27/2017 9:06,88.9,0,38.7,0
ERP-JHACKNEY-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,50.64,2.03,96.49,28.53,10/24/2017 8:27,28.2,0,0,0
ERP-JHACKNEY-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,50.64,2.03,96.49,28.53,10/24/2017 8:27,28.2,0,0,0
ERP-JKEZAR-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,63.82,2.76,96.22,26.43,2/2/2018 16:20,45.5,0,642.8,0
ERP-JKEZAR-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,63.82,2.76,96.22,26.43,2/2/2018 16:20,45.5,0,642.8,0
ERP-KROULEAU-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,53.42,2.15,96.16,26.06,10/24/2017 8:27,30.9,0,13.7,0
ERP-KROULEAU-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,53.42,2.15,96.16,26.06,10/24/2017 8:27,30.9,0,13.7,0
ERP-LTRIPP-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,47.43,1.9,94.94,19.75,10/24/2017 8:27,38.1,0,-15.5,0
ERP-LTRIPP-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,47.43,1.9,94.94,19.75,10/24/2017 8:27,38.1,0,-15.5,0
ERP-NANDERSON-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,97.42,38.74,99.83,581.1,8/7/2018 14:19,2.8,0,0,0
ERP-NANDERSON-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,97.42,38.74,99.83,581.1,8/7/2018 14:19,2.8,0,0,0
ERP-OEM13c,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,48.36,1.94,95.79,23.75,1/7/2018 15:13,88.1,0,-32,0
ERP-OEM13c,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,48.36,1.94,95.79,23.75,1/7/2018 15:13,88.1,0,-32,0
ERP-OEM13cDB,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,49.68,1.99,90.76,10.82,1/7/2018 15:13,237.2,0,243.7,0
