"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"FMDEVCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","82.62","5.75","98.50","66.83","2017-10-29 15:54:26","11.2","0.0","-992.9","0.0"
"PBROOKS-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","66.15","2.95","97.20","35.71","2017-10-24 08:27:14","11.3","0.0","0.3","0.0"
"PBROOKS-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","66.15","2.95","97.20","35.71","2017-10-24 08:27:14","11.3","0.0","0.3","0.0"
"ENT-Footprints","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","96.99","33.20","99.80","498.03","2017-11-10 09:00:35","11.3","0.0","-0.0","0.0"
"ENT-Footprints","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","96.99","33.20","99.80","498.03","2017-11-10 09:00:35","11.3","0.0","-0.0","0.0"
"ENT-Footprints","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","96.99","33.20","99.80","498.03","2017-11-10 09:00:35","11.3","0.0","-0.0","0.0"
"HRDEVCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","82.09","5.58","98.44","63.94","2017-10-29 15:54:26","11.8","0.0","-14.3","0.0"
"HRDEVCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","82.09","5.58","98.44","63.94","2017-10-29 15:54:26","11.8","0.0","-14.3","0.0"
"Tax-Win10-JFO-CB","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","92.73","13.76","99.27","136.68","2018-10-15 12:03:29","11.8","0.0","785.6","0.0"
"Tax-Win10-JFO-CB","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","92.73","13.76","99.27","136.68","2018-10-15 12:03:29","11.8","0.0","785.6","0.0"
"DSHEPARD-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","63.03","2.71","96.98","33.07","2017-10-24 08:27:14","12.2","0.0","6.6","0.0"
"DSHEPARD-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","63.03","2.71","96.98","33.07","2017-10-24 08:27:14","12.2","0.0","6.6","0.0"
"EAG-JonTest","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","77.28","4.40","92.38","13.13","2018-10-24 13:37:06","12.3","0.0","2454.2","0.0"
"EAG-JonTest","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","77.28","4.40","92.38","13.13","2018-10-24 13:37:06","12.3","0.0","2454.2","0.0"
"KJAQUISH-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","79.86","4.97","98.48","65.61","2017-10-24 08:27:14","12.3","0.0","1.6","0.0"
"KJAQUISH-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","79.86","4.97","98.48","65.61","2017-10-24 08:27:14","12.3","0.0","1.6","0.0"
"eagwkneas","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","82.15","5.60","98.63","72.85","2018-08-14 11:09:43","12.4","0.0","-8.3","0.0"
"AzureMigrate","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","85.73","7.01","99.03","103.62","2017-11-29 14:32:29","12.4","0.0","-0.0","0.0"
"AzureMigrate","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","85.73","7.01","99.03","103.62","2017-11-29 14:32:29","12.4","0.0","-0.0","0.0"
"ABDEVAPP01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","90.11","10.11","99.33","148.58","2018-08-17 09:12:18","13.0","0.0","-0.0","0.0"
"ABDEVAPP01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","90.11","10.11","99.33","148.58","2018-08-17 09:12:18","13.0","0.0","-0.0","0.0"
"eagpvshield02","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","89.73","9.74","98.53","68.04","2017-10-11 08:48:08","13.3","0.0","10.0","0.0"
"Panorama-8","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","99.42","171.21","99.96","2568.08","2017-10-06 14:37:32","13.4","0.0","-0.0","0.0"
"Panorama-8","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","99.42","171.21","99.96","2568.08","2017-10-06 14:37:32","13.4","0.0","-0.0","0.0"
"JHARRIS-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","78.39","4.63","98.31","59.29","2017-10-24 08:27:14","13.6","0.0","2.3","0.0"
"JHARRIS-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","78.39","4.63","98.31","59.29","2017-10-24 08:27:14","13.6","0.0","2.3","0.0"
"UPKMDE01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","72.12","3.59","97.86","46.76","2017-10-27 09:06:55","13.8","0.0","2.0","0.0"
"UPKMDE01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","72.12","3.59","97.86","46.76","2017-10-27 09:06:55","13.8","0.0","2.0","0.0"
"TAX-RSA01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","88.48","8.68","99.14","116.17","2017-10-23 07:46:12","14.4","0.0","0.6","0.0"
"TAX-RSA01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","88.48","8.68","99.14","116.17","2017-10-23 07:46:12","14.4","0.0","0.6","0.0"
"FMPRDWEB03","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","75.46","4.08","98.02","50.51","2017-11-13 10:52:54","14.9","0.0","-31.8","0.0"
"FMPRDWEB03","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","75.46","4.08","98.02","50.51","2017-11-13 10:52:54","14.9","0.0","-31.8","0.0"
"HRUATCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","78.21","4.59","98.01","50.17","2017-10-23 07:38:51","15.0","0.0","-464.1","0.0"
"HRUATCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","78.21","4.59","98.01","50.17","2017-10-23 07:38:51","15.0","0.0","-464.1","0.0"
"ENT-MCAFEEAGENT","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","74.87","3.98","98.00","50.09","2017-11-06 07:48:28","15.0","0.0","-102.8","0.0"
