"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (B)","Total Archive Storage (B)","Local Storage Growth (B/day)","Archive Storage Growth (B/day)"
"ACCD-CVT-PROD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-09-24 04:21:19","23006557914.0","0.0","44456761.0","0.0"
"ACCD-CVT-QA","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-09-24 04:21:44","24991360365.0","0.0","32593415.0","0.0"
"ACCD-DHCD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-09-24 04:21:19","633345167475.0","0.0","4612308.0","0.0"
"ACCD-SQL-Prod","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-09-24 04:21:19","232679677031.0","0.0","385917041.0","0.0"
"ACCD-SQL-QA","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-09-24 04:21:44","118635609450.0","0.0","-42718959.0","0.0"
"ACCDDEV","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-09-24 04:20:56","101928201984.0","0.0","24189141.0","0.0"
"ADS-CITRIX-XA01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-28 11:03:54","13597747308.0","0.0","51045689.0","0.0"
"ADS-CITRIX-XA02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-28 11:03:53","12750478655.0","0.0","25460891.0","0.0"
"ADS-CTODEVWIN","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-21 10:53:19","18151980585.0","0.0","148693140.0","0.0"
"ADS-CTODevCentOS7","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-21 10:53:19","5930691600.0","0.0","2041070.0","0.0"
"ADS-CTOSQL","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-18 16:12:48","28714625180.0","0.0","-163671907.0","0.0"
"AGO-Kirk","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-07-27 14:17:55","21272119683.0","0.0","6565766.0","0.0"
"AGO-Scotty","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-07-27 14:17:55","39132977503.0","0.0","157601616.0","0.0"
"AGO-Troy","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-07-27 14:17:55","7185411656803.0","0.0","28233196552.0","0.0"
"AGO-Voyager","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-07-27 14:17:55","154731800272.0","0.0","22814454.0","0.0"
"AGR-DBProd2008","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","31090691876.0","0.0","-22958578.0","0.0"
"AGR-DBProd2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","811569779841.0","0.0","6571713441.0","0.0"
"AGR-DBTest2008","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","59445919939.0","0.0","6378774.0","0.0"
"AGR-DBTest2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","98641419041.0","0.0","-7437709.0","0.0"
"AGR-IFProd2008","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","47108323318.0","0.0","55683128.0","0.0"
"AGR-INDB2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","21654211295.0","0.0","9596509.0","0.0"
"AGR-Milk","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","78191263281.0","0.0","10126694.0","0.0"
"AGR-OFProd2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","32128305514.0","0.0","59924794.0","0.0"
"AGR-OFWQ2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","2018-08-17 10:08:35","51323919786.0","0.0","44940343.0","0.0"
